;Produto;Volume (ML);Precos;Parcela
0;Lagoalva Tinto 2021;750.0;124.0;2
1;Luis Pato Maria Gomes 2023;750.0;149.0;2
2;Altano 2021;750.0;149.0;2
3;Petit Caro 2021;750.0;173.0;2
4;Los Vascos Cabernet Sauvignon 2022;750.0;175.0;2
5;La Vieille Ferme Rouge 2023;750.0;178.0;2
6;Luis Pato Baga Touriga Nacional 202...;750.0;181.0;2
7;Bordeaux Signatures Rouge 2020;750.0;187.0;2
8;Basa Rueda 2022;750.0;193.0;2
9;Graham's Fine Tawny;750.0;196.0;2
10;Saint Felicien Malbec 2023;750.0;197.0;2
11;Regaleali Le Rosé 2022;750.0;203.0;2
12;Catena Cabernet Sauvignon 2022;750.0;210.0;2
13;Regaleali Nero d'Avola 2022;750.0;210.0;2
14;Regaleali Bianco 2023;750.0;210.0;2
15;Lapostolle Grand Selection Cabernet...;750.0;212.0;2
16;Catena Malbec 2022;750.0;222.0;2
17;Alma Negra M Blend 2022;750.0;225.0;2
18;Famille Perrin Côtes-du-Rhône Réser...;750.0;250.0;2
19;El Enemigo Chardonnay 2022;750.0;250.0;2
20;DV Catena Cabernet-Malbec 2022;750.0;260.0;2
21;Braccale 2022;750.0;262.0;3
22;Los Vascos Cromas Gran Reserva Cabe...;750.0;269.0;3
23;Los Vascos Cromas Gran Reserva Carm...;750.0;269.0;0
25;Coelheiros Branco 2023;750.0;275.0;0
26;Dehesa La Granja 2020;0.0;275.0;0
27;Alma Negra Tinto 2021;0.0;279.0;0
28;Château Marjosse Blanc 2022;0.0;281.0;0
29;Beaujolais-Villages 2022;0.0;287.0;0
30;El Enemigo Malbec 2021;0.0;294.0;0
31;Amancaya 2021;0.0;294.0;0
32;El Vinculo Crianza 2020;0.0;306.0;0
33;Château Marjosse Rouge 2022;0.0;310.0;0
